44 ,56 ,120 ,140 ,140 ,124 ,56 ,48 ,48 ,76 ,132 ,140 ,140 ,132 ,64 ,44 ,36 ,68 ,104 ,140 ,136 ,128 ,56 ,48 ,40 ,52 ,92 ,148 ,136 ,92 ,44 ,32 ,36 ,44 ,60 ,136 ,108 ,48 ,40 ,32 ,36 ,40 ,44 ,112 ,124 ,56 ,36 ,32 ,28 ,40 ,36 ,76 ,128 ,84 ,36 ,40 ,32 ,32 ,20 ,44 ,88 ,68 ,44 ,28 
52 ,52 ,120 ,132 ,144 ,120 ,68 ,44 ,48 ,68 ,124 ,140 ,136 ,136 ,68 ,40 ,40 ,56 ,100 ,144 ,140 ,124 ,56 ,40 ,36 ,52 ,92 ,144 ,140 ,80 ,48 ,40 ,24 ,40 ,56 ,136 ,108 ,44 ,44 ,32 ,36 ,36 ,40 ,116 ,136 ,60 ,32 ,28 ,24 ,28 ,32 ,72 ,124 ,88 ,32 ,32 ,28 ,28 ,28 ,36 ,96 ,72 ,40 ,32 
44 ,60 ,112 ,124 ,128 ,120 ,60 ,40 ,48 ,76 ,136 ,144 ,140 ,140 ,64 ,36 ,52 ,68 ,104 ,140 ,136 ,124 ,52 ,48 ,40 ,52 ,88 ,144 ,140 ,88 ,44 ,40 ,32 ,40 ,56 ,128 ,104 ,52 ,28 ,32 ,32 ,40 ,48 ,116 ,132 ,64 ,40 ,36 ,36 ,24 ,36 ,72 ,128 ,84 ,32 ,40 ,28 ,28 ,24 ,40 ,92 ,68 ,36 ,36 
36 ,56 ,120 ,132 ,144 ,116 ,56 ,48 ,48 ,64 ,128 ,140 ,132 ,132 ,64 ,48 ,40 ,60 ,96 ,144 ,140 ,124 ,56 ,36 ,36 ,52 ,96 ,148 ,132 ,84 ,44 ,32 ,36 ,48 ,52 ,128 ,104 ,48 ,36 ,24 ,36 ,40 ,40 ,108 ,132 ,56 ,32 ,24 ,32 ,28 ,40 ,72 ,128 ,84 ,28 ,36 ,28 ,24 ,24 ,36 ,96 ,72 ,36 ,20 
44 ,52 ,124 ,132 ,140 ,124 ,56 ,44 ,44 ,72 ,140 ,140 ,132 ,124 ,60 ,44 ,40 ,68 ,104 ,140 ,136 ,124 ,52 ,40 ,36 ,52 ,100 ,148 ,136 ,84 ,44 ,32 ,44 ,48 ,60 ,140 ,100 ,44 ,44 ,32 ,40 ,44 ,44 ,116 ,132 ,56 ,36 ,32 ,24 ,28 ,40 ,84 ,128 ,80 ,32 ,40 ,28 ,32 ,28 ,44 ,96 ,60 ,40 ,32 
44 ,52 ,120 ,140 ,140 ,124 ,60 ,56 ,40 ,68 ,132 ,144 ,140 ,132 ,64 ,48 ,36 ,64 ,100 ,144 ,136 ,128 ,56 ,36 ,40 ,52 ,92 ,144 ,132 ,80 ,40 ,32 ,40 ,44 ,56 ,128 ,100 ,48 ,40 ,28 ,40 ,40 ,44 ,112 ,132 ,52 ,40 ,40 ,40 ,36 ,44 ,76 ,128 ,80 ,48 ,36 ,28 ,32 ,32 ,40 ,96 ,68 ,40 ,32 
40 ,56 ,128 ,132 ,144 ,120 ,52 ,48 ,48 ,72 ,136 ,140 ,136 ,128 ,64 ,56 ,48 ,64 ,104 ,144 ,140 ,128 ,56 ,40 ,44 ,52 ,92 ,144 ,132 ,84 ,44 ,44 ,40 ,48 ,60 ,136 ,100 ,44 ,40 ,28 ,48 ,48 ,44 ,124 ,132 ,52 ,36 ,40 ,32 ,28 ,48 ,80 ,136 ,80 ,36 ,32 ,36 ,32 ,24 ,44 ,100 ,76 ,36 ,28 
56 ,56 ,124 ,132 ,140 ,124 ,56 ,52 ,44 ,76 ,132 ,144 ,140 ,128 ,64 ,48 ,40 ,68 ,100 ,144 ,136 ,124 ,64 ,40 ,40 ,48 ,96 ,144 ,136 ,80 ,40 ,44 ,44 ,40 ,60 ,136 ,100 ,44 ,40 ,32 ,40 ,40 ,44 ,116 ,132 ,52 ,32 ,20 ,32 ,40 ,40 ,80 ,132 ,76 ,32 ,28 ,32 ,24 ,28 ,48 ,92 ,64 ,40 ,32 
40 ,60 ,120 ,128 ,136 ,116 ,56 ,48 ,32 ,72 ,132 ,144 ,132 ,132 ,64 ,48 ,40 ,60 ,104 ,148 ,136 ,128 ,56 ,44 ,40 ,44 ,88 ,144 ,132 ,88 ,40 ,32 ,48 ,44 ,64 ,136 ,104 ,48 ,44 ,32 ,40 ,44 ,44 ,104 ,132 ,56 ,36 ,28 ,36 ,24 ,40 ,76 ,128 ,80 ,32 ,36 ,28 ,32 ,28 ,44 ,100 ,68 ,36 ,28 
40 ,56 ,120 ,128 ,136 ,124 ,48 ,44 ,40 ,68 ,136 ,140 ,136 ,132 ,60 ,48 ,40 ,60 ,108 ,144 ,136 ,128 ,52 ,40 ,44 ,52 ,96 ,148 ,140 ,84 ,48 ,32 ,44 ,44 ,56 ,132 ,108 ,52 ,32 ,32 ,40 ,40 ,44 ,112 ,132 ,56 ,32 ,28 ,40 ,28 ,32 ,72 ,128 ,72 ,28 ,40 ,28 ,36 ,32 ,44 ,100 ,68 ,32 ,32 
44 ,60 ,120 ,132 ,136 ,120 ,56 ,36 ,36 ,72 ,128 ,144 ,140 ,128 ,64 ,44 ,44 ,68 ,104 ,144 ,140 ,128 ,52 ,48 ,44 ,52 ,96 ,144 ,136 ,84 ,40 ,32 ,40 ,40 ,56 ,132 ,104 ,48 ,36 ,32 ,36 ,32 ,44 ,112 ,132 ,56 ,32 ,28 ,36 ,32 ,36 ,76 ,124 ,84 ,40 ,40 ,24 ,32 ,32 ,44 ,100 ,68 ,52 ,36 
44 ,56 ,120 ,136 ,136 ,120 ,52 ,56 ,40 ,72 ,132 ,140 ,136 ,132 ,72 ,48 ,44 ,56 ,104 ,144 ,136 ,132 ,60 ,44 ,40 ,52 ,88 ,148 ,140 ,88 ,44 ,36 ,40 ,44 ,56 ,132 ,108 ,48 ,36 ,28 ,40 ,44 ,40 ,112 ,128 ,60 ,36 ,28 ,44 ,32 ,44 ,72 ,124 ,92 ,36 ,48 ,36 ,24 ,28 ,48 ,92 ,64 ,32 ,28 
48 ,56 ,120 ,128 ,136 ,120 ,56 ,52 ,40 ,68 ,140 ,144 ,136 ,128 ,68 ,40 ,44 ,64 ,100 ,152 ,136 ,128 ,56 ,36 ,40 ,48 ,88 ,148 ,140 ,88 ,44 ,32 ,40 ,44 ,56 ,132 ,108 ,48 ,36 ,36 ,44 ,48 ,44 ,112 ,132 ,60 ,40 ,32 ,40 ,40 ,32 ,80 ,128 ,76 ,44 ,36 ,36 ,28 ,32 ,44 ,100 ,68 ,40 ,32 
48 ,52 ,116 ,136 ,140 ,124 ,60 ,48 ,44 ,68 ,132 ,140 ,136 ,132 ,64 ,52 ,40 ,64 ,100 ,148 ,136 ,132 ,60 ,40 ,40 ,44 ,96 ,144 ,136 ,88 ,44 ,40 ,44 ,40 ,60 ,132 ,104 ,48 ,44 ,36 ,40 ,40 ,36 ,116 ,136 ,52 ,44 ,36 ,32 ,36 ,44 ,68 ,136 ,84 ,36 ,32 ,36 ,28 ,36 ,44 ,100 ,72 ,36 ,24 
36 ,56 ,116 ,124 ,140 ,120 ,48 ,52 ,44 ,68 ,128 ,140 ,136 ,136 ,60 ,48 ,40 ,60 ,104 ,140 ,136 ,116 ,56 ,36 ,28 ,48 ,88 ,144 ,136 ,84 ,44 ,40 ,44 ,36 ,56 ,132 ,100 ,48 ,32 ,28 ,40 ,40 ,44 ,116 ,128 ,52 ,36 ,36 ,20 ,36 ,28 ,80 ,124 ,68 ,36 ,36 ,32 ,24 ,24 ,44 ,92 ,64 ,40 ,16 
40 ,64 ,128 ,136 ,136 ,120 ,52 ,48 ,44 ,76 ,132 ,144 ,136 ,132 ,60 ,44 ,40 ,72 ,112 ,144 ,140 ,136 ,60 ,40 ,40 ,48 ,100 ,144 ,144 ,88 ,48 ,40 ,48 ,52 ,60 ,140 ,108 ,44 ,44 ,32 ,40 ,44 ,44 ,120 ,128 ,52 ,40 ,36 ,28 ,44 ,40 ,84 ,128 ,72 ,20 ,32 ,24 ,28 ,32 ,52 ,108 ,76 ,32 ,36 
